train_acc_SER,train_loss,val_SER_acc,val_loss
0.851975945,0.4216932,0.575618132,1.4011446
0.868986254,0.37115908,0.59168956,1.3721873
0.86967354,0.366413,0.581799451,1.4359825
0.870532646,0.369348,0.585508242,1.4179877
0.862628866,0.3856851,0.550412088,1.5064808
0.870790378,0.37416604,0.575480769,1.4602492
0.877835052,0.34271157,0.570398352,1.549765
0.87104811,0.3547019,0.587156593,1.52849
0.874656357,0.35898927,0.578365385,1.5126425
0.89862543,0.30791482,0.587293956,1.5484707
0.882388316,0.33022797,0.589835165,1.5714438
0.88685567,0.32650545,0.572321429,1.6081704
0.892525773,0.31459048,0.574793956,1.6445717
0.887628866,0.3099009,0.558516484,1.765355
0.873969072,0.35599458,0.563873626,1.5502985
0.902491409,0.28436488,0.565796703,1.7548126
0.889347079,0.3092042,0.565659341,1.6160115
0.901890034,0.2782947,0.58907967,1.6733352
0.90532646,0.27664274,0.574725275,1.6019402
0.904209622,0.28727454,0.585782967,1.5797497
0.918041237,0.23914218,0.562980769,1.7099158
0.908419244,0.26939568,0.570467033,1.6469004
0.901460481,0.28922787,0.561263736,1.6600899
0.901202749,0.27708364,0.563392857,1.7611885
0.921391753,0.23478778,0.555425824,1.8293631
0.911769759,0.25989205,0.581868132,1.7232513
0.901460481,0.29537413,0.593887363,1.5348042
0.92242268,0.2361193,0.583035714,1.7342454
0.923195876,0.23057155,0.580494505,1.8007135
0.908161512,0.26668173,0.568337912,1.8242867
0.927147766,0.22218108,0.556799451,1.8446707
0.919158076,0.23935868,0.568337912,1.8243059
0.929553265,0.2153341,0.573626374,1.8231567
0.933333333,0.1908143,0.574244505,1.9395443
0.92637457,0.21167788,0.562568681,1.9490731
0.934707904,0.20479362,0.586263736,1.8773527
0.935309278,0.19400942,0.554876374,2.0086465
0.925601375,0.21708223,0.553571429,1.9242601
0.937628866,0.18264094,0.563049451,1.9342921
0.873367698,0.3814899,0.56614011,1.6244767
0.928436426,0.21726777,0.570054945,1.8644135
0.935051546,0.19661222,0.569230769,1.8743172
0.927147766,0.20883805,0.565796703,1.8525056
0.941666667,0.16721259,0.575961538,1.855959
0.939948454,0.1834115,0.578090659,1.8865458
0.928694158,0.20681666,0.565728022,1.9636562
0.941151203,0.18142769,0.586675824,1.9475496
0.936941581,0.1870065,0.583928571,1.9852451
0.94209622,0.17803884,0.558928571,1.9766575
0.954810997,0.13791688,0.576854396,2.085777
0.939604811,0.17708223,0.561607143,2.1489384
0.938659794,0.1789398,0.582760989,1.8635653
0.939776632,0.18157357,0.573695055,1.9948444
0.935824742,0.19506313,0.571016484,2.0114124
0.958247423,0.12640195,0.584134615,2.164668
0.954295533,0.14209382,0.545535714,2.314997
0.949828179,0.15699363,0.559821429,2.2275605
0.945790378,0.16403522,0.557692308,2.1577723
0.960824742,0.12969847,0.562293956,2.3143592
0.965463918,0.11522764,0.535782967,2.309478
0.936254296,0.18701202,0.567513736,2.1164267
0.948281787,0.1631488,0.561195055,2.2626262
0.95532646,0.14561372,0.561263736,2.117398
0.963230241,0.1194423,0.567101648,2.2194996
0.962457045,0.12755065,0.565521978,2.253755
0.965378007,0.11076518,0.581318681,2.3359082
0.946305842,0.15812117,0.590315934,2.1552746
0.953522337,0.14314847,0.554052198,2.1790643
0.970274914,0.09298112,0.553708791,2.4063013
0.978865979,0.077493146,0.553159341,2.3978105
0.93943299,0.17245664,0.572870879,2.0361755
0.959965636,0.13137406,0.564491758,2.1763852
0.918213058,0.26512218,0.585851648,1.6983732
0.968556701,0.1118279,0.569162088,2.1167293
0.975,0.084937915,0.561675824,2.3644636
0.965635739,0.10624259,0.565315934,2.3767605
0.970618557,0.086244605,0.575,2.401214
0.970704467,0.09352417,0.563324176,2.3616006
0.964862543,0.10821235,0.558928571,2.4149098
0.977835052,0.069704816,0.561950549,2.464422
0.960137457,0.11739263,0.57293956,2.3212712
0.956701031,0.13743854,0.552815934,2.2537453
0.97362543,0.07937625,0.558104396,2.4029634
0.981443299,0.05357258,0.544642857,2.6006176
0.966924399,0.10046429,0.566208791,2.4441879
0.958676976,0.1162957,0.547733516,2.4940937
0.956958763,0.1250753,0.567994505,2.293611
0.962972509,0.110353015,0.567788462,2.4049294
0.975429553,0.0815836,0.563049451,2.3802161
0.960996564,0.1158623,0.541895604,2.3911083
0.974140893,0.085766636,0.551717033,2.383921
0.987886598,0.037538256,0.558997253,2.6986735
0.988402062,0.04009494,0.559821429,2.7098193
0.976030928,0.07735622,0.549038462,2.6478622
0.960824742,0.11399739,0.544093407,2.3937516
0.970103093,0.091069065,0.561675824,2.4567773
0.981013746,0.06523893,0.567994505,2.49762
0.985309278,0.046192665,0.562568681,2.5663388
0.980584192,0.06196947,0.56353022,2.745641
0.976718213,0.071913585,0.546565934,2.7676067
0.972680412,0.08111607,0.577884615,2.50293
0.98943299,0.039473847,0.536538462,2.5841882
0.985652921,0.049548395,0.525137363,2.839981
0.972852234,0.08395499,0.571153846,2.5106542
0.962628866,0.10965148,0.559615385,2.48081
0.984793814,0.05137096,0.565728022,2.5956986
0.981701031,0.052734356,0.558997253,2.6911361
0.993556701,0.023228215,0.549587912,2.9125156
0.972079038,0.08602445,0.553090659,2.5924983
0.969587629,0.09955462,0.538942308,2.45374
0.96709622,0.1051923,0.542513736,2.4171224
0.976202749,0.077165246,0.551785714,2.7153172
0.980068729,0.061207358,0.570604396,2.5983968
0.986769759,0.04734832,0.571634615,2.7212167
0.97757732,0.06833185,0.546016484,2.742197
0.978608247,0.07202872,0.546840659,2.5402017
0.988659794,0.03907381,0.545535714,2.7954173
0.995360825,0.020614184,0.556318681,2.8897183
0.993556701,0.019794704,0.551304945,3.0104766
0.993298969,0.024566153,0.564423077,2.8936021
0.987371134,0.04274633,0.569368132,2.8741877
0.987113402,0.048315343,0.546016484,2.930099
0.937972509,0.18608825,0.556593407,2.2562423
0.984793814,0.051864352,0.55364011,2.5438783
0.995360825,0.020613946,0.55,2.6105132
0.996907216,0.013377117,0.561744505,2.7980304
0.996391753,0.013984046,0.544986264,2.952204
0.995876289,0.014070914,0.547321429,3.0655453
0.997680412,0.010783204,0.554945055,3.161532
0.997079038,0.01213059,0.537980769,3.2477953
0.997594502,0.009348437,0.553159341,3.3607209
0.987027491,0.042745095,0.568406593,2.97168
0.964089347,0.10900568,0.555288462,2.5934443
0.97895189,0.06582853,0.550068681,2.773245
0.980670103,0.072595365,0.544299451,2.6605763
0.987457045,0.0401912,0.558997253,2.7389486
0.977147766,0.06707795,0.548351648,2.7319624
0.987800687,0.042658575,0.557142857,2.8277376
0.982989691,0.05454968,0.55418956,2.7933753
0.980498282,0.07143162,0.566002747,2.678705
0.994587629,0.025968865,0.560027473,2.7509289
0.994072165,0.022713915,0.561675824,2.9024277
0.983419244,0.05912856,0.55103022,2.7818334
0.970017182,0.08452172,0.571497253,2.5698645
0.973969072,0.0920974,0.563461538,2.4160867
0.990463918,0.0316584,0.562087912,2.6415877
0.993728522,0.024159703,0.561195055,2.738413
0.994587629,0.021498252,0.568887363,3.0360093
0.989948454,0.036008235,0.556318681,2.926033
0.982130584,0.053202707,0.559203297,2.8726733
0.985996564,0.047998726,0.56353022,2.7112124
0.986597938,0.040887564,0.573695055,2.8238146
0.993213058,0.027478904,0.568818681,2.9741726
0.992268041,0.029718481,0.566483516,2.8685372
0.983505155,0.0717873,0.54581044,2.8785212
0.981958763,0.05752707,0.570467033,2.8154886
0.982646048,0.05449435,0.578090659,2.5736942
0.993556701,0.025389148,0.567513736,2.7912886
0.993298969,0.027188493,0.586813187,2.7854996
0.996391753,0.01623747,0.572870879,3.032226
0.99871134,0.007325505,0.574725275,3.1649747
0.998969072,0.005687189,0.578846154,3.22929
0.997680412,0.009706454,0.577884615,3.3291242
0.998969072,0.006368146,0.57603022,3.367416
0.998195876,0.006420963,0.575206044,3.4240487
0.998969072,0.00451304,0.575480769,3.5314448
0.99742268,0.007231288,0.577403846,3.5951293
0.997852234,0.007216746,0.574313187,3.6117222
0.998969072,0.004626896,0.575068681,3.6921096
0.998969072,0.00667506,0.570604396,3.7334073
0.998195876,0.007560349,0.577335165,3.7154062
0.997680412,0.007889167,0.573557692,3.7142112
0.997680412,0.008548436,0.573832418,3.810066
0.998195876,0.005176794,0.572802198,3.8739793
0.998453608,0.005976312,0.577335165,3.8880386
0.999226804,0.005294592,0.570192308,3.9682782
0.999484536,0.004381998,0.569986264,4.033028
0.99871134,0.005134424,0.575824176,4.094587
0.99871134,0.004711349,0.578090659,4.132116
0.99862543,0.006364902,0.560164835,4.126411
